nome_associacao,localidade_principal,nome_produto,produto_organico,avaliacao_produto,disponivel_primavera,disponivel_verao,disponivel_outono,disponivel_inverno
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Cenoura,0,4,1,1,1,1
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Cajamanga,0,4,1,1,0,0
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Repolho,0,4,1,0,1,1
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Couve,1,4,1,1,1,1
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Coco,0,3,1,1,1,1
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Quiabo,0,4,1,1,0,0
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Mandioca,0,4,1,1,1,1
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),São Sebastião,Berinjela,0,3,1,1,0,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Uva,0,4,0,1,0,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Limão,0,5,1,1,1,1
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Berinjela,1,3,1,1,0,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Batata,0,5,0,0,1,1
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Abacate,0,3,1,0,0,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Morango,0,5,1,0,1,1
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Cebola,0,3,1,1,0,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Goiaba,0,3,0,1,1,0
