regiao,cooperativa,produtos_organicos,nome_produto,avaliacao,primavera,verao,outono,inverno
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Morango,4,1,0,1,1
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Abacate,3,1,0,1,0
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Mandioca,3,1,1,1,1
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Mamão,3,1,1,1,1
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Maracujá,3,1,1,1,0
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Atemóia,3,1,0,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Gengibre,5,0,1,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Abacate,5,1,0,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Morango,3,1,0,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Berinjela,3,1,1,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Abóbora,4,0,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Batata,3,0,0,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Banana,3,1,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Cenoura,4,1,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Beterraba,3,1,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Agrião,3,1,1,1,1
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Mandioca,3,1,1,1,1
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Pepino,4,1,1,1,0
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Morango,4,1,0,1,1
